Scrip,Name,Client,ISIN,Collateral,Depository,Net,Cl Price,Cl Amount,%
543482,Eureka Forbes Limited,B0474,INE0KCE01017,0,3000,3000,572,1716600,34
522134,ARTSON ENGINEERING LTD.,B0474,INE133D01023,0,4400,4400,185,812680,16
500325,RELIANCE INDUSTRIES LTD.,B0474,INE002A01018,400,0,400,1205,482120,10
500780,Zuari Industries Limited,B0474,INE217A01012,0,1000,1000,333,332750,7
532945,SEPC LIMITED,B0474,INE964H01014,0,10000,10000,22,224000,4
500009,AMBALAL SARABHAI ENTERPRISES L,B0474,INE432A01017,0,3000,3000,57,171450,3
500209,INFOSYS LTD.,B0474,INE009A01021,0,88,88,1922,169149,3
543940,Jio Financial Services Limited,B0474,INE758E01017,0,500,500,304,152150,3
544186,Forbes Precision Tools and Mac,B0474,INE0TT901016,0,500,500,285,142675,3
523475,LOTUS CHOCOLATE CO.LTD.,B0474,INE026D01011,0,100,100,1338,133750,3
502865,FORBES & COMPANY LTD.,B0474,INE518A01013,0,269,269,471,126780,3
543650,DCX Systems Limited,B0474,INE0KL801015,0,300,300,330,98940,2
500185,HINDUSTAN CONSTRUCTION CO.LTD.,B0474,INE549A01026,0,2000,2000,44,87120,2
530965,INDIAN OIL CORPORATION LTD.,B0474,INE242A01010,0,500,500,137,68540,1
500183,HFCL LIMITED,B0474,INE548A01028,0,600,600,113,68010,1
500106,IFCI LTD.,B0474,INE039A01010,0,1000,1000,61,60970,1
532674,BANNARI AMMAN SPINNING MILLS L,B0474,INE186H01022,0,1000,1000,53,52980,1
533275,SHAH METACORP LIMITED,B0474,INE482J01021,0,10000,10000,4,42900,1
532822,VODAFONE IDEA  LIMITED,B0474,INE669E01016,0,3000,3000,7,22200,0
541578,Varroc Engineering Limited,B0474,INE665L01035,0,15,15,598,8971,0
540709,Reliance Home Finance Limited,B0474,INE217K01011,0,1800,1800,5,8172,0
539979,DIGJAM LIMITED,B0474,INE731U01028,0,33,33,72,2389,0
524174,KESAR PETROPRODUCTS LTD.,B0474,INE133C01033,0,10,10,27,271,0
539436,Coffee Day Enterprises Limited,B0474,INE335K01011,0,45,45,0,0,0
507956,CONTINENTAL CONSTRUCTION LTD.,B0474,INE970B01014,0,200,200,0,0,0
524011,GENOMICS BIOTECH LTD.,B0474,INE974A01018,0,1000,1000,0,0,0
506485,IDI LTD.,B0474,INE888A01010,0,500,500,0,0,0
523804,J.F.LABORATORIES LTD.,B0474,INE226C01019,0,200,200,0,0,0
500111,RELIANCE CAPITAL LTD.,B0474,INE013A01015,0,1800,1800,0,0,0
532712,RELIANCE COMMUNICATIONS LTD.,B0474,INE330H01018,0,245,245,0,0,0
500183,HFCL LIMITED,M1502,INE548A01028,0,2700,2700,113,306045,30
532627,JAIPRAKASH POWER VENTURES LIMI,M1502,INE351F01018,0,7000,7000,19,132790,13
500336,SURYA ROSHNI LTD.,M1502,INE335A01020,0,200,200,548,109580,11
522134,ARTSON ENGINEERING LTD.,M1502,INE133D01023,0,500,500,185,92350,9
505075,SETCO AUTOMOTIVE LTD.,M1502,INE878E01021,0,3500,3500,20,70455,7
500106,IFCI LTD.,M1502,INE039A01010,0,1000,1000,61,60970,6
532694,BARTRONICS INDIA LTD.,M1502,INE855F01042,0,2800,2800,18,51576,5
521070,ALOK INDUSTRIES LTD.,M1502,INE270A01029,0,2300,2300,21,48691,5
205222,SANGINITA CHEMICALS LTD,M1502,INE753W01010,0,2500,2500,15,38025,4
519216,AJANTA SOYA LTD.,M1502,INE601B01023,0,800,800,42,33560,3
532372,Virinchi Limited,M1502,INE539B01017,0,1000,1000,28,28430,3
507498,PICCADILY SUGAR & ALLIED INDUS,M1502,INE544C01023,0,400,400,69,27544,3
541578,Varroc Engineering Limited,M1502,INE665L01035,0,15,15,598,8971,1
539979,DIGJAM LIMITED,M1502,INE731U01028,0,66,66,72,4778,0
532047,ASIAN FILMS PRODUCTION & DISTR,M1502,INE581B01035,0,500,500,0,0,0
532081,KSS LIMITED,M1502,INE216D01026,0,800,800,0,0,0
517140,MOSER BAER INDIA LTD.,M1502,INE739A01015,0,2000,2000,0,0,0
532866,QUINTEGRA SOLUTIONS LTD.,M1502,INE033B01011,0,2000,2000,0,0,0
531693,YANTRA NATURAL RESOURCES LTD.,M1502,INE903B01023,0,50000,50000,0,0,0
532172,Adroit Infotech Limited,L0067,INE737B01033,0,60,60,18,1061,0
540879,Apollo Micro Systems Limited,L0067,INE713T01028,0,1000,1000,121,121180,5
532888,ASIAN GRANITO INDIA LTD.,L0067,INE022I01019,0,1000,1000,62,61550,2
543898,BEML Land Assets Limited,L0067,INE0N7W01012,0,500,500,214,107180,4
532930,BGR ENERGY SYSTEMS LTD.,L0067,INE661I01014,0,200,200,121,24276,1
532931,BURNPUR CEMENT LTD.,L0067,INE817H01014,0,5000,5000,6,29200,1
539436,Coffee Day Enterprises Limited,L0067,INE335K01011,0,45,45,29,1294,0
524260,CONSO FIB CH,L0067,INE311A01013,0,1000,1000,0,0,0
543650,DCX Systems Limited,L0067,INE0KL801015,0,150,150,342,51315,2
539979,DIGJAM LIMITED,L0067,INE731U01028,0,33,33,55,1802,0
524170,DSQ BIOTECH LTD.,L0067,INE964A01019,0,20,20,0,0,0
543482,Eureka Forbes Limited,L0067,INE0KCE01017,0,825,825,554,457380,18
532657,FACOR STEELS LTD.,L0067,INE829G01011,0,10000,10000,0,0,0
500940,FINOLEX INDUSTRIES LTD.,L0067,INE183A01024,0,200,200,207,41440,2
502865,FORBES & COMPANY LTD.,L0067,INE518A01013,0,55,55,421,23144,1
544186,Forbes Precision Tools and Mac,L0067,INE0TT901016,0,220,220,249,54769,2
524011,GENOMICS BIOTECH LTD.,L0067,INE974A01018,0,500,500,0,0,0
506480,GOCL Corporation Limited,L0067,INE077F01035,0,200,200,353,70570,3
500183,HFCL LIMITED,L0067,INE548A01028,0,1000,1000,93,93070,4
500185,HINDUSTAN CONSTRUCTION CO.LTD.,L0067,INE549A01026,0,5000,5000,32,160250,6
539437,IDFC FIRST BANK LIMITED,L0067,INE092T01019,0,250,250,59,14833,1
504741,INDIAN HUME PIPE CO.LTD.,L0067,INE323C01030,0,200,200,329,65760,3
541336,IndoStar Capital Finance Limit,L0067,INE896L01010,0,26,26,243,6321,0
530279,KUNAL OVERSEAS LTD.,L0067,INE513B01012,0,300,300,0,0,0
534675,PROZONE REALTY LIMITED,L0067,INE195N01013,0,5000,5000,35,172850,7
532866,QUINTEGRA SOLUTIONS LTD.,L0067,INE033B01011,0,25224,25224,2,59276,2
533122,RATTANINDIA POWER LTD.,L0067,INE399K01017,0,100,100,11,1129,0
,RDB REAL ESTATE CONSTRUCTIONS LIMITED EQ,L0067,INE0AK901016,0,1000,1000,0,0,0
533285,RDB REALTY & INFRASTRUCTURE LT,L0067,INE245L01010,0,1000,1000,470,470400,19
500390,RELIANCE INFRASTRUCTURE LTD.,L0067,INE036A01016,0,600,600,278,166530,7
532323,SHIVA CEMENT LTD.,L0067,INE555C01029,0,2000,2000,39,78860,3
531863,SIGRUN HOLDINGS LIMITED,L0067,INE633D01022,0,100,100,0,0,0
518071,SOMANI CEMENT COMPANY LTD.,L0067,INE536F01014,0,300,300,0,0,0
534748,STEEL EXCHANGE INDIA LTD.,L0067,INE503B01021,0,3800,3800,9,34770,1
521113,SUDITI INDUSTRIES LTD.,L0067,INE691D01012,0,200,200,43,8590,0
532711,SUNIL HITECH ENGINEERS LTD.,L0067,INE305H01028,0,2000,2000,0,0,0
532975,TELOGICA LIMITED,L0067,INE778I01024,0,1100,1100,21,22781,1
541578,Varroc Engineering Limited,L0067,INE665L01035,0,15,15,583,8740,0
532822,VODAFONE IDEA  LIMITED,L0067,INE669E01016,0,8000,8000,8,61920,2
531693,YANTRA NATURAL RESOURCES LTD.,L0067,INE903B01023,0,100000,100000,0,0,0
500780,Zuari Industries Limited,L0067,INE217A01012,0,200,200,287,57430,2
500184,Himadri Speciality Chemical Lt,S0491,INE019C01026,0,200,200,547,109370,37
500106,IFCI LTD.,S0491,INE039A01010,0,1000,1000,61,60970,21
521070,ALOK INDUSTRIES LTD.,S0491,INE270A01029,0,2000,2000,21,42340,14
532822,VODAFONE IDEA  LIMITED,S0491,INE669E01016,0,5000,5000,7,37000,13
532351,AKSH OPTIFIBRE LTD.,S0491,INE523B01011,0,2000,2000,13,25780,9
541578,Varroc Engineering Limited,S0491,INE665L01035,0,15,15,598,8971,3
537292,AGRI- TECH (INDIA) LTD,S0491,INE449G01018,0,40,40,197,7895,3
539979,DIGJAM LIMITED,S0491,INE731U01028,0,33,33,72,2389,1
,ANCO COMMUNICATIONS LIMITED EQUITY SHARES,S0491,INE541B01013,0,200,200,0,0,0
531428,BIRMINGHAM THERMOTECH LTD.,S0491,INE782B01013,0,2012,2012,0,0,0
500091,CORE HEALTHCARE LTD.,S0491,INE494A01017,0,500,500,0,0,0
524170,DSQ BIOTECH LTD.,S0491,INE964A01019,0,600,600,0,0,0
530279,KUNAL OVERSEAS LTD.,S0491,INE513B01012,0,450,450,0,0,0
,SISTEMA SMART TECHNOLOGIES LIMITED EQ,S0491,INE159D01010,0,1191,1191,0,0,0
518071,SOMANI CEMENT COMPANY LTD.,S0491,INE536F01014,0,550,550,0,0,0
526576,TECHIN,S0491,INE778A01021,0,116,116,0,0,0
501150,CENTRUM CAPITAL LTD.,T1810,INE660C01027,0,10000,10000,34,344900,14
532822,VODAFONE IDEA  LIMITED,T1810,INE669E01016,0,45000,45000,7,333000,14
500314,ORIENTAL HOTELS LTD.,T1810,INE750A01020,0,1100,1100,178,195723,8
544240,Raymond Lifestyle Limited,T1810,INE02ID01020,0,80,80,2001,160060,7
532798,NETWORK18 MEDIA & INVESTMENTS,T1810,INE870H01013,0,1813,1813,74,134778,6
543898,BEML Land Assets Limited,T1810,INE0N7W01012,0,550,550,236,129740,5
500009,AMBALAL SARABHAI ENTERPRISES L,T1810,INE432A01017,0,2200,2200,57,125730,5
500183,HFCL LIMITED,T1810,INE548A01028,0,1000,1000,113,113350,5
543482,Eureka Forbes Limited,T1810,INE0KCE01017,0,150,150,572,85830,4
534369,TRIBHOVANDAS BHIMJI ZAVERI LTD,T1810,INE760L01018,0,300,300,251,75384,3
533287,ZEE LEARN LTD.,T1810,INE565L01011,0,9000,9000,8,74880,3
506480,GOCL Corporation Limited,T1810,INE077F01035,0,200,200,367,73360,3
500780,Zuari Industries Limited,T1810,INE217A01012,0,200,200,333,66550,3
539437,IDFC FIRST BANK LIMITED,T1810,INE092T01019,0,1000,1000,62,61680,3
532387,PRITISH NANDY COMMUNICATIONS L,T1810,INE392B01011,0,1000,1000,59,58920,2
532944,ONMOBILE,T1810,INE809I01019,0,700,700,73,51317,2
532888,ASIAN GRANITO INDIA LTD.,T1810,INE022I01019,0,700,700,68,47880,2
532029,SINDHU TRADE LINKS LIMITED,T1810,INE325D01025,0,2000,2000,22,44160,2
540614,G G Engineering Limited,T1810,INE694X01030,0,25000,25000,2,41250,2
532891,Puravankara Limited,T1810,INE323I01011,0,100,100,405,40475,2
504741,INDIAN HUME PIPE CO.LTD.,T1810,INE323C01030,0,100,100,387,38665,2
543249,TARC LIMITED,T1810,INE0EK901012,0,200,200,177,35474,1
519216,AJANTA SOYA LTD.,T1810,INE601B01023,0,700,700,42,29365,1
534675,PROZONE REALTY LIMITED,T1810,INE195N01013,0,1000,1000,25,24700,1
541578,Varroc Engineering Limited,T1810,INE665L01035,0,15,15,598,8971,0
541336,IndoStar Capital Finance Limit,T1810,INE896L01010,0,26,26,299,7782,0
532931,BURNPUR CEMENT LTD.,T1810,INE817H01014,0,1000,1000,7,6870,0
540497,S Chand And Company Limited,T1810,INE807K01035,0,22,22,220,4835,0
539979,DIGJAM LIMITED,T1810,INE731U01028,0,66,66,72,4778,0
502865,FORBES & COMPANY LTD.,T1810,INE518A01013,0,10,10,471,4713,0
501150,CENTRUM CAPITAL LTD.,T18129,INE660C01027,0,4000,4000,34,137960,27
533275,SHAH METACORP LIMITED,T18129,INE482J01021,0,30000,30000,4,128700,25
507498,PICCADILY SUGAR & ALLIED INDUS,T18129,INE544C01023,0,1500,1500,69,103290,20
532945,SEPC LIMITED,T18129,INE964H01014,0,1900,1900,22,42560,8
540614,G G Engineering Limited,T18129,INE694X01030,0,20000,20000,2,33000,7
539437,IDFC FIRST BANK LIMITED,T18129,INE092T01019,0,500,500,62,30840,6
519260,SANWARIA CONSUMER LIMITED,T18129,INE890C01046,0,50000,50000,0,23500,5
538607,TOYAM SPORTS LIMITED,T18129,INE457P01020,0,2500,2500,2,5850,1
543898,BEML Land Assets Limited,B0240,INE0N7W01012,0,1500,1500,236,353835,9
522134,ARTSON ENGINEERING LTD.,B0240,INE133D01023,0,1900,1900,185,350930,9
500390,RELIANCE INFRASTRUCTURE LTD.,B0240,INE036A01016,0,1200,1200,290,348360,9
544186,Forbes Precision Tools and Mac,B0240,INE0TT901016,0,1200,1200,285,342420,9
501150,CENTRUM CAPITAL LTD.,B0240,INE660C01027,0,8000,8000,34,275920,7
502865,FORBES & COMPANY LTD.,B0240,INE518A01013,0,500,500,471,235650,6
534748,STEEL EXCHANGE INDIA LTD.,B0240,INE503B01021,0,20000,20000,11,211600,6
532945,SEPC LIMITED,B0240,INE964H01014,0,8769,8769,22,196426,5
507410,WALCHANDNAGAR INDUSTRIES LTD.,B0240,INE711A01022,0,700,700,262,183435,5
500009,AMBALAL SARABHAI ENTERPRISES L,B0240,INE432A01017,0,3000,3000,57,171450,5
500183,HFCL LIMITED,B0240,INE548A01028,0,1300,1300,113,147355,4
540879,Apollo Micro Systems Limited,B0240,INE713T01028,0,1500,1500,94,141225,4
500184,Himadri Speciality Chemical Lt,B0240,INE019C01026,0,200,200,547,109370,3
205222,SANGINITA CHEMICALS LTD,B0240,INE753W01010,0,7000,7000,15,106470,3
532527,RAMKRISHNA FORGINGS LTD.,B0240,INE399G01023,0,100,100,891,89125,2
500185,HINDUSTAN CONSTRUCTION CO.LTD.,B0240,INE549A01026,0,2000,2000,44,87120,2
532443,CERA SANITARYWARE LTD.,B0240,INE739E01017,0,10,10,7294,72937,2
532351,AKSH OPTIFIBRE LTD.,B0240,INE523B01011,0,5000,5000,13,64450,2
500378,JINDAL SAW LTD.,B0240,INE324A01032,0,200,200,300,60010,2
532648,YES BANK LTD.,B0240,INE528G01035,0,2500,2500,20,49575,1
532931,BURNPUR CEMENT LTD.,B0240,INE817H01014,0,7000,7000,7,48090,1
532371,TATA TELESERVICES (MAHARASHTRA,B0240,INE517B01013,0,500,500,78,38925,1
534675,PROZONE REALTY LIMITED,B0240,INE195N01013,0,1000,1000,25,24700,1
532930,BGR ENERGY SYSTEMS LTD.,B0240,INE661I01014,0,200,200,85,17032,0
539979,DIGJAM LIMITED,B0240,INE731U01028,0,133,133,72,9629,0
541578,Varroc Engineering Limited,B0240,INE665L01035,0,15,15,598,8971,0
532939,RELIANCE POWER LTD.,B0240,INE614G01033,0,57,57,45,2551,0
513250,JYOTI STRUCTURES LTD.,B0240,INE197A01024,0,50,50,30,1521,0
532657,FACOR STEELS LTD.,B0240,INE829G01011,0,16000,16000,0,0,0
500139,Fedders Electric and Engineeri,B0240,INE249C01011,0,200,200,0,0,0
531687,KARUTURI GLOBAL ,B0240,INE299C01024,0,10000,10000,0,0,0
532866,QUINTEGRA SOLUTIONS LTD.,B0240,INE033B01011,0,3000,3000,0,0,0
521082,SPENTEX INDUSTRIES LTD.,B0240,INE376C01020,0,300,300,0,0,0
532711,SUNIL HITECH ENGINEERS LTD.,B0240,INE305H01028,0,2000,2000,0,0,0
532358,TELEDATA INFORMATICS LTD.,B0240,INE480B01022,0,500,500,0,0,0
533462,TELEDATA MARINE SOLUTIONS LTD.,B0240,INE473I01014,0,250,250,0,0,0
533089,TELEDATA TECHNOLOGY SOLUTIONS,B0240,INE391I01018,0,250,250,0,0,0
