ISIN,CODE,NAME,QTY,AVG BUY,CL,BUY AMT,SELL AMT,% CHANGE
,500009,Ambalal Sarabhai Enterprises Ltd,3000,75.6,51.4,226800,162090,-28.5
,500106,IFCI Ltd,1000,16.1,54.7,16100,54740,240
,500183,HFCL Ltd,2700,83,98.2,224100,275805,23.1
,500183,HFCL Ltd,1000,93.4,98.2,93420,102150,9.3
,500184,Himadri Speciality Chemical Ltd,200,67,545,13400,111470,731.9
,500390,Reliance Infrastructure Ltd,1200,99,275.3,118800,347220,192.3
,500390,Reliance Infrastructure Ltd,600,172,275.3,103200,173610,68.2
,501150,Centrum Capital Ltd,4000,26.7,30.8,106640,126600,18.7
,501150,Centrum Capital Ltd,8000,29.1,30.8,232800,253200,8.8
,502865,Forbes & Company Ltd,55,836,433.8,45980,23859,-48.1
,502865,Forbes & Company Ltd,500,836,433.8,418000,215550,-48.4
,505075,Setco Automotive Ltd,3500,12.3,20,43050,70000,62.6
,507410,Walchandnagar Industries Ltd,700,276.7,243.5,193690,175140,-9.6
,507498,Piccadilly Sugar And Allied Industr(NDA),1500,25.4,63.9,38040,95850,152
,507498,Piccadilly Sugar And Allied Industr(NDA),400,26,63.9,10400,25560,145.8
,519216,Ajanta Soya Ltd,800,49,49.7,39200,39784,1.5
,519260,Sanwaria Consumer Ltd,50000,0.9,0.5,45000,24500,-45.6
,521070,Alok Industries Ltd,2300,30,19.4,69000,44551,-35.4
,521070,Alok Industries Ltd,2000,30,19.4,60000,38740,-35.4
,522134,Artson Ltd,500,81,187.1,40500,93525,130.9
,522134,Artson Ltd,1900,126.2,187.1,239837,338295,41.1
,532323,Shiva Cement Ltd,2000,4,39.9,8000,79820,897.8
,532372,Virinchi Ltd,1000,67,31,67000,30980,-53.8
,532627,Jaiprakash Power Ventures Limited,7000,7.7,16.4,53760,114450,112.9
,532648,Yes Bank Ltd,2500,18.2,18,45375,45100,-0.6
,532694,Bartronics India Ltd,2800,13.4,22.4,37380,62720,67.8
,532822,Vodafone Idea Ltd,8000,13.8,8.3,110000,66080,-39.9
,532822,Vodafone Idea Ltd,5000,9.2,8.3,45850,41300,-9.9
,532930,BGR Energy Systems Ltd,200,160,123.8,32000,24750,-22.7
,532930,BGR Energy Systems Ltd,201,160,123.8,32000,24750,-22.7
,532931,Burnpur Cement Ltd,7000,12,6.2,84000,43050,-48.8
,532931,Burnpur Cement Ltd,5000,13.5,6.2,67500,30750,-54.4
,532975,Telogica Ltd,1100,5.3,20.5,5852,22550,285.3
,533275,Shah Metacorp Ltd,30000,4.1,4.2,123000,120900,-1.7
,533285,RDB Infrastructure and Power Ltd,1000,40,485,40000,495200,1138
,534748,Steel Exchange India Ltd,20000,12.1,9.9,241000,199600,-17.2
,534748,Steel Exchange India Ltd,3800,10.9,9.9,41420,37582,-9.3
,538607,Toyam Sports Ltd,2500,6.6,2.1,16425,5275,-67.9
,539437,IDFC First Bank Ltd,500,93.1,61.9,46565,30965,-33.5
,539437,IDFC First Bank Ltd,250,52,61.9,13000,15482.5,19.1
,540614,G G Engineering Ltd,20000,1.2,1.6,24800,32800,32.3
,540879,Apollo Micro Systems Ltd,1500,113.5,128.9,170250,180975,6.3
,540879,Apollo Micro Systems Ltd,1000,120.4,128.9,120350,120650,0.2
,543482,Eureka Forbes Ltd,825,450,578.7,371250,472931.3,27.4
,544186,Forbes Precision Tools and Mchn Prts Ltd,1200,209,253,250800,301560,20.2
,544186,Forbes Precision Tools and Mchn Prts Ltd,220,209,253,45980,55660,21.1
INE523B01011,AKSHOPTFBR,Aksh Optifibre Limited,5000,13.7,10.1,68500,50500,-26.3
INE523B01011,AKSHOPTFBR,Aksh Optifibre Limited,2000,12.9,10.1,25840,20200,-21.8
INE022I01019,ASIANTILES,Asian Granito India Ltd,1000,77,64,76950,64000,-16.8
INE0N7W01012,BLAL,BEML Land Assets Ltd,500,204.5,219.1,102250,112460,10
INE0N7W01012,BLAL,BEML Land Assets Ltd,1500,210,219.1,315000,337380,7.1
INE739E01017,CERA,Cera Sanitaryware Ltd,10,8950,6680,89500,66800,-25.4
INE0KL801015,DCXINDIA,DCX Systems Ltd,150,436,355,65400,53250,-18.6
INE183A01024,FINPIPE,Finolex Industries Ltd,200,230.9,206.8,46170,41350,-10.4
INE077F01035,GOCLCORP,Gocl Corporation Ltd,200,470.8,359.3,94150,71860,-23.7
INE549A01026,HCC,Hindustan Construction Company Ltd,5000,37.3,34.2,186350,174650,-6.3
INE549A01026,HCC,Hindustan Construction Company Ltd,2000,33.3,34.2,66600,68480,2.8
INE548A01028,HFCL,HFCL Ltd,1300,125.2,98.6,162760,132743,-18.4
INE019C01026,HSCL,Himadri Speciality Chemical Ltd,200,405.2,547.2,81040,112140,38.4
INE039A01010,IFCI,IFCI Ltd,1000,77.5,54.7,77500,54710,-29.4
INE323C01030,INDIANHUME,Indian Hume Pipe Company Ltd,200,425,337.1,84998,67420,-20.7
INE324A01032,JINDALSAW,Jindal SAW Ltd,200,81,244.5,16200,48900,201.9
INE195N01013,PROZONER,Prozone Realty Ltd,5000,37.4,35.5,187200,176250,-5.8
INE195N01013,PROZONER,Prozone Realty Ltd,1000,40,35.5,39970,35500,-11.2
INE399G01023,RKFORGE,Ramkrishna Forgings Ltd,100,885,942,88500,94200,6.4
INE753W01010,SANGINITA,Sanginita Chemicals Ltd,2500,22,14.7,55000,36725,-33.2
INE753W01010,SANGINITA,Sanginita Chemicals Ltd,7000,34.3,14.7,240100,104440,-56.5
INE964H01014,SEPC,Sepc Ltd,8769,23.9,18.7,209579.1,168364.8,-19.7
INE964H01014,SEPC,Sepc Ltd,1900,22.6,18.7,42883,35606,-17
INE335A01020,SURYAROSNI,Surya Roshni Ltd,200,580,280.1,116000,56010,-51.7
INE517B01013,TTML,Tata Teleservices (Maharashtra) Ltd,500,95.88,69.9,47940,34940,-27.1
INE217A01012,ZUARIIND,Zuari Industries Ltd,200,408.5,298,81696,59600,-27
